['1S', '2S', '3S']
['1S', '2S', '4S']
['1S', '2S', '5S']
['1S', '2S', '6S']
['1S', '2S', '7S']
['1S', '2S', '8S']
['1S', '2S', '9S']
['1S', '2S', '10S']
['1S', '2S', 'JS']
['1S', '2S', 'QS']
['1S', '2S', 'KS']
['1S', '2S', 'AS']
['1S', '2S', '1C']
['1S', '2S', '2C']
['1S', '2S', '3C']
['1S', '2S', '4C']
['1S', '2S', '5C']
['1S', '2S', '6C']
['1S', '2S', '7C']
['1S', '2S', '8C']
['1S', '2S', '9C']
['1S', '2S', '10C']
['1S', '2S', 'JC']
['1S', '2S', 'QC']
['1S', '2S', 'KC']
['1S', '2S', 'AC']
['1S', '2S', '1D']
['1S', '2S', '2D']
['1S', '2S', '3D']
['1S', '2S', '4D']
['1S', '2S', '5D']
['1S', '2S', '6D']
['1S', '2S', '7D']
['1S', '2S', '8D']
['1S', '2S', '9D']
['1S', '2S', '10D']
['1S', '2S', 'JD']
['1S', '2S', 'QD']
['1S', '2S', 'KD']
['1S', '2S', 'AD']
['1S', '2S', '1H']
['1S', '2S', '2H']
['1S', '2S', '3H']
['1S', '2S', '4H']
['1S', '2S', '5H']
['1S', '2S', '6H']
['1S', '2S', '7H']
['1S', '2S', '8H']
['1S', '2S', '9H']
['1S', '2S', '10H']
['1S', '2S', 'JH']
['1S', '2S', 'QH']
['1S', '2S', 'KH']
['1S', '2S', 'AH']
['1S', '3S', '4S']
['1S', '3S', '5S']
['1S', '3S', '6S']
['1S', '3S', '7S']
['1S', '3S', '8S']
['1S', '3S', '9S']
['1S', '3S', '10S']
['1S', '3S', 'JS']
['1S', '3S', 'QS']
['1S', '3S', 'KS']
['1S', '3S', 'AS']
['1S', '3S', '1C']
['1S', '3S', '2C']
['1S', '3S', '3C']
['1S', '3S', '4C']
['1S', '3S', '5C']
['1S', '3S', '6C']
['1S', '3S', '7C']
['1S', '3S', '8C']
['1S', '3S', '9C']
['1S', '3S', '10C']
['1S', '3S', 'JC']
['1S', '3S', 'QC']
['1S', '3S', 'KC']
['1S', '3S', 'AC']
['1S', '3S', '1D']
['1S', '3S', '2D']
['1S', '3S', '3D']
['1S', '3S', '4D']
['1S', '3S', '5D']
['1S', '3S', '6D']
['1S', '3S', '7D']
['1S', '3S', '8D']
['1S', '3S', '9D']
['1S', '3S', '10D']
['1S', '3S', 'JD']
['1S', '3S', 'QD']
['1S', '3S', 'KD']
['1S', '3S', 'AD']
['1S', '3S', '1H']
['1S', '3S', '2H']
['1S', '3S', '3H']
['1S', '3S', '4H']
['1S', '3S', '5H']
['1S', '3S', '6H']
['1S', '3S', '7H']
['1S', '3S', '8H']
['1S', '3S', '9H']
['1S', '3S', '10H']
['1S', '3S', 'JH']
['1S', '3S', 'QH']
['1S', '3S', 'KH']
['1S', '3S', 'AH']
['1S', '4S', '5S']
['1S', '4S', '6S']
['1S', '4S', '7S']
['1S', '4S', '8S']
['1S', '4S', '9S']
['1S', '4S', '10S']
['1S', '4S', 'JS']
['1S', '4S', 'QS']
['1S', '4S', 'KS']
['1S', '4S', 'AS']
['1S', '4S', '1C']
['1S', '4S', '2C']
['1S', '4S', '3C']
['1S', '4S', '4C']
